lga_name,lon,lat
Bathurst Regiona,149.52564564545523,-33.43015443484611
Bega Valley Shire,149.7176004561666,-36.82600907837997
Blayney Shire,149.14205922310515,-33.594328425753105
Bourke Shire,145.3568573322146,-29.910638198463033
arrathool Shire,145.49643946872547,-33.60910607042011
entral Coast,151.29488733675544,-33.31593924434169
ffs Harbour City,153.03995907427148,-30.18920794130412
Dubbo Regiona,148.85438832226134,-32.42479238026137
Eurobodalla Shire,150.22685037208555,-36.25109268717947
Forbes Shire,147.86714023604054,-33.42160969187686
Glen Innes Severn Shire,151.90306622399692,-29.645027213420203
Greater Hume Shire,147.1718466243137,-35.750278009063706
Gwydir Shire,150.51678692649315,-29.593486335037937
Kempsey Shire,152.64495719284542,-30.951606130908544
Leeton Shire,146.3020933284671,-34.53233826364186
Lismore City,153.2707362743618,-28.756284517664415
Lockhart Shire,146.77542450433637,-35.331311835657765
Maitland City,151.55021386253992,-32.710977836404
Nambucca Valley,152.76897364069097,-30.68754270125695
Narrabri Shire,149.5648802104547,-30.35648844421398
North Sydney,151.21186275027463,-33.83296268574266
Northern Beaches,151.2537227651649,-33.68658293856408
Queanbeyan-Palerang Regiona,149.6272731319565,-35.42353306647747
The Council of the Municipality of Kiama,150.75654286634438,-34.67897785738412
The Council of the Shire of Hornsby,151.09783015854612,-33.58097253747101
Unincorporated - Lord Howe Island,159.10103476724953,-31.557720399103655
Upper Hunter Shire,150.7265198013858,-31.96925709255593
Warren Shire,147.67985852726437,-31.325635435143273
Wollongong City,150.93774760806693,-34.49442950860534
Bogan Shire,146.86714950311512,-31.538255742178958
abonne Shire,148.75407317593545,-33.15299031049529
ampbelltown City,150.84577356260496,-34.08346881052793
entral Darling Shire,143.58969384086743,-31.85072581921951
ty of Parramatta,151.02929101341593,-33.79929192379655
bar Shire,145.48289728149823,-31.868029731761215
Inner West,151.15485730747724,-33.89181494243683
Ku-ring-ga,151.15090833282926,-33.73454995452976
Lane Cove Municipa,151.1668999235604,-33.81991478452169
Liverpool Plains Shire,150.43851067392873,-31.550449590693646
Mid-Coast,152.0957982374679,-32.01548768916799
Mosman Municipa,151.2445465681348,-33.82900189177127
Muswellbrook Shire,150.6302944969458,-32.4399280392667
Narrandera Shire,146.57968326351843,-34.61129063172255
Port Macquarie-Hastings,152.53136266401472,-31.40982189021391
Shellharbour City,150.86459799587468,-34.6258937181888
Sutherland Shire,151.0589037031835,-34.07110960806852
Tamworth Regiona,150.90704178379795,-30.892488992824216
Unincorporated - Sydney Harbour Area,151.18888396411987,-33.98578267917426
Walcha,151.78451264162672,-31.16388143015624
Woollahra Municipa,151.25738751473486,-33.87176259288208
Armidale Regiona,151.8999125538087,-30.36778350418596
Bayside,151.1686552716436,-33.95301542496517
Berrigan Shire,145.71116664297608,-35.734394640777815
Blue Mountains City,150.41124229044817,-33.697546932003895
Broken Hill City,141.47851370584826,-31.94435312696595
Burwood,151.10313452709508,-33.883706584872115
ty of Canada Bay,151.1147012423058,-33.853491693776796
tamundra-Gundagai Regiona,148.09414481214853,-34.85295131601813
wra Shire,148.71794990805847,-33.7963883586811
Federat,146.27130529392775,-35.496991015191
Georges River,151.08680774712388,-33.973603062042805
Gilgandra Shire,148.69077205820588,-31.61909367278083
Junee Shire,147.66885678515737,-34.81718792167158
Lake Macquarie City,151.5391520949423,-33.04427494046812
Liverpool City,150.82534760531448,-33.93605820730367
Murrumbidgee,145.7293660137911,-34.94973828355268
Narromine Shire,148.06550424316595,-32.226088498288796
Penrith City,150.71815692134942,-33.76537956678783
Ryde City,151.11057648131225,-33.79917404213452
Singlet,150.96453088288038,-32.66039118679221
Snowy Valleys,148.24916147179417,-35.733899881777525
The Council of the Municipality of Hunters H,151.14497043376517,-33.83332325344462
Unincorporated - Far West Area,142.21261955574445,-30.654604237322705
Wagga Wagga City,147.3663347666708,-35.19661292554627
Yass Valley,148.88506480869216,-34.95422308491696
Albury City,146.9707703102778,-36.02657737919448
Blacktown City,150.86425931366352,-33.74130679838686
anterbury-Bankstow,151.0372502031425,-33.92377229167436
essnock City,151.2249079914107,-32.92505353862411
amon Shire,147.10477814796758,-34.63254537690027
amble Shire,148.29160873942473,-30.87053258337417
mberland,150.98770222014272,-33.84257221074017
Dungog Shire,151.60827696831552,-32.34956569124567
Goulburn Mulwaree,149.81326704273,-34.87609835769198
Hay Shire,144.68367220667682,-34.315861677472974
Hilltops,148.50097930562762,-34.352000074253226
Kyogle,152.77568442946603,-28.617772460094262
Lithgow City,150.178937430501,-33.277687327141656
Mid-Western Regiona,149.74242716325273,-32.59381060436999
Ober,149.81138001769645,-33.883272410522316
Port Stephens,151.8692734908494,-32.719723398149085
Randwick City,151.23996900330832,-33.94391906480151
Richmond Valley,153.04648565379154,-29.059656476237404
Strathfield Municipa,151.07662412092685,-33.880379795687055
The Hills Shire,150.96203187061485,-33.58823789747305
Tweed Shire,153.35825906711054,-28.358552330432406
Warrumbungle Shire,149.40510014535857,-31.463316393275175
Weddin Shire,148.01125466846486,-33.87191477645327
Wentworth Shire,142.24290752733884,-33.57023868994438
Wingecarribee Shire,150.35620481972165,-34.47690189473492
Ballina Shire,153.4874241754145,-28.853022850473433
Balranald Shire,143.61154044302845,-33.95052469508959
Bellingen Shire,152.72870894360048,-30.403817032636976
Bland Shire,146.96122080348078,-33.894400912414184
Brewarrina Shire,146.96089892241585,-29.791757967531268
Byron Shire,153.48284198308394,-28.60422400482315
amde,150.72411439391513,-34.00877592813361
arence Valley,152.75119995251316,-29.68175378033769
f the City of Sydney,151.20273799898374,-33.88967096113138
Edward River,144.94146969847037,-35.172546706650756
Fairfield City,150.89542594578663,-33.86561354721719
Griffith City,146.0035955506609,-34.300419560257986
Gunnedah Shire,150.18743620893315,-31.04612527786924
Hawkesbury City,150.7731927778461,-33.334787228901426
Inverell Shire,151.07537913035642,-29.419559913489945
Lachlan Shire,146.9896688556034,-32.920179296432536
Moree Plains Shire,149.6288328621043,-29.25301595114475
Murray River,144.21164150431088,-35.324746601388824
Newcastle City,151.7061082708563,-32.8775934342035
Orange City,149.12038708753485,-33.32464790854995
Parkes Shire,147.9614758698004,-32.88096401005762
Shoalhaven City,150.3823841401565,-35.09357247294225
Snowy Monaro Regiona,148.95874474748294,-36.396439499448114
Temora Shire,147.48362359217623,-34.387981182433826
Tenterfield Shire,152.08635436952403,-28.94389315797272
Upper Lachlan Shire,149.45568712547833,-34.417749185007594
Uralla Shire,151.31236160327953,-30.507665543142096
Walgett Shire,148.19452343422984,-29.816733913302894
Waverley,151.26694336680612,-33.889887536855106
Willoughby City,151.19640801149015,-33.801140959384426
Wollondilly Shire,150.44379292002375,-34.10191954241087
